"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Haywhy_Jah: If you are reading this, You may not have money to contribute, but retweeting this will make it get to the right people tha…",FALSE,0,NA,2019-03-04 21:11:41,FALSE,NA,"1102678019263684612",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RichKingRulz",142,TRUE,FALSE,NA,NA
"2","RT @Haywhy_Jah: If you are reading this, You may not have money to contribute, but retweeting this will make it get to the right people tha…",FALSE,0,NA,2019-03-04 21:08:18,FALSE,NA,"1102677167811391488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingKupa1",271,TRUE,FALSE,NA,NA
"3","RT @medlineplus: RT @womenshealth: Salt can add flavor, but too much of it can hurt your kidneys. Here’s how to keep your food flavorful an…",FALSE,0,NA,2019-03-04 20:44:21,FALSE,NA,"1102671142370725888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marraw3",7,TRUE,FALSE,NA,NA
"4","RT @Vkookra: My dad was diagnosed with stage 4 chronic kidney disease &amp; paru paru berair (pneumonia) this morning. I need your help to send…",FALSE,0,NA,2019-03-04 20:41:00,FALSE,NA,"1102670299089137664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","baby_hanis",30,TRUE,FALSE,NA,NA
"5","@voxdotcom Next thing you know they will claim that chronic kidney disease or ESRD and sickle cell disease was caus… https://t.co/fVEqcxNtgf",FALSE,0,"voxdotcom",2019-03-04 20:37:43,TRUE,"1102512765120507906","1102669472647786497","2347049341","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnbeckham192",0,FALSE,FALSE,NA,NA
"6","RT @Haywhy_Jah: If you are reading this, You may not have money to contribute, but retweeting this will make it get to the right people tha…",FALSE,0,NA,2019-03-04 20:37:37,FALSE,NA,"1102669448547323904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bolutisaac",271,TRUE,FALSE,NA,NA
"7","RT @Vkookra: My dad was diagnosed with stage 4 chronic kidney disease &amp; paru paru berair (pneumonia) this morning. I need your help to send…",FALSE,0,NA,2019-03-04 20:37:33,FALSE,NA,"1102669430427836416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lilrainbb",30,TRUE,FALSE,NA,NA
"8","RT @Vkookra: My dad was diagnosed with stage 4 chronic kidney disease &amp; paru paru berair (pneumonia) this morning. I need your help to send…",FALSE,0,NA,2019-03-04 20:33:11,FALSE,NA,"1102668333202042880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VK00KTEARS",30,TRUE,FALSE,NA,NA
"9","Kidney Recovery for dialysis patients. Read more &gt;&gt;&gt; https://t.co/eJTALU4s5T https://t.co/eJTALU4s5T",FALSE,0,NA,2019-03-04 20:30:09,FALSE,NA,"1102667567414439936",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KidneyBuzz",0,FALSE,FALSE,NA,NA
"10","@xMarioTrashx I got diagnosed with stage 2 chronic Kidney disease at the age of 21. We all lit",FALSE,1,"xMarioTrashx",2019-03-04 20:29:09,FALSE,"1102666626757992449","1102667318021292037","1071458758851813377","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uncle_franco1k",0,FALSE,FALSE,NA,NA
